PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004332835 uM,W460-Activity at 0.00130 uM,W460-Activity at 0.00388 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.035 uM,W460-Activity at 0.057 uM,W460-Activity at 0.105 uM,W460-Activity at 0.315 uM,W460-Activity at 0.650 uM,W460-Activity at 0.956 uM,W460-Activity at 2.842 uM,W460-Activity at 4.858 uM,W460-Activity at 8.495 uM,W460-Activity at 25.28 uM,W460-Activity at 36.32 uM,W460-Activity at 76.68 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004332835 uM,Ratio-Activity at 0.00130 uM,Ratio-Activity at 0.00388 uM,Ratio-Activity at 0.00490 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.035 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.105 uM,Ratio-Activity at 0.315 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.956 uM,Ratio-Activity at 2.842 uM,Ratio-Activity at 4.857 uM,Ratio-Activity at 8.495 uM,Ratio-Activity at 25.28 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.68 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 406.9 uM,Ratio-Activity at 909.9 uM,Ratio-Activity at 2034.6 uM,Ratio-Activity at 4832.0 uM,Ratio-Activity at 10804.6 uM,Ratio-Activity at 24159.8 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004332835 uM,W530-Activity at 0.00130 uM,W530-Activity at 0.00388 uM,W530-Activity at 0.00490 uM,W530-Activity at 0.012 uM,W530-Activity at 0.035 uM,W530-Activity at 0.057 uM,W530-Activity at 0.105 uM,W530-Activity at 0.315 uM,W530-Activity at 0.650 uM,W530-Activity at 0.956 uM,W530-Activity at 2.842 uM,W530-Activity at 4.857 uM,W530-Activity at 8.495 uM,W530-Activity at 25.28 uM,W530-Activity at 36.32 uM,W530-Activity at 76.68 uM,W530-Activity at 182.0 uM,W530-Activity at 406.9 uM,W530-Activity at 909.9 uM,W530-Activity at 2034.6 uM,W530-Activity at 4832.0 uM,W530-Activity at 10804.6 uM,W530-Activity at 24159.8 uM,W530-Activity at 54023.0 uM,Compound QC
2761,26757787,7372,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164368-01/21156895,,Inactive,,,,,,,,,,4,,-18.0773,,-19.5504,-13.0263,-32.2353,-2.4378,-27.4925,-23.606,-22.071,-10.2761,-15.1005,-29.4883,-21.8637,-24.2626,,-31.1667,-23.5203,-18.0773,,,,,,,,,,,,,,,4,,-0.0742,,14.5437,1.6253,-7.0068,1.9602,-3.4744,-2.3914,1.9553,9.5869,13.5436,3.475,6.046,1.0346,,6.7388,-4.0257,-0.0742,,,,,,,,,,,,,,,4,,-12.3015,,-25.3542,-11.2395,-15.2724,-2.3641,-15.8862,-15.2208,-14.8142,-13.7165,-20.9416,-22.904,-19.2307,-18.8406,,-26.762,-13.721,-12.3015,,,,,,,,,QC'd by SigmaAldrich
2762,26757788,17318,CC(=C)C(=O)OCCC[Si](OC)(OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164369-01/21155768,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 0 1 0 0,9.9635,,13.2799,64.8421,26.4384,36.4643,29.9512,25.0643,17.0106,4.7008,-0.2625,-9.1931,-7.4192,9.9397,,-37.99,5.8738,9.9635,,,,,,,,,,,,,,,4,,2.3855,,0.3353,-2.2839,2.8957,-11.8955,-7.7728,-7.8735,-8.9766,-1.7641,3.7592,5.5169,-4.6796,5.3757,,-20.3883,-9.6239,2.3855,,,,,,,,,,,,,,,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0,5.6282,,6.605,36.9006,14.8095,33.0319,23.399,18.9482,18.8068,6.9362,-1.2892,-7.0927,0.4877,1.5647,,-8.5104,10.491,5.6282,,,,,,,,,QC'd by SigmaAldrich
2763,26757789,17317,CO[Si](CCCOCC1CO1)(OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164370-01/21156759,,Inactive,,,,,,,,,,4,0 0 0 1 1 0 0 0 0 0 0 0 0 0 1,13.4828,,3.6334,5.8541,-2.207,-13.5283,22.2242,-4.7124,8.8273,17.2724,4.0527,3.8781,12.4576,9.7517,,26.192,30.9885,13.4828,,,,,,,,,,,,,,,4,,7.5656,,9.6942,0.7577,28.3654,-2.4697,-1.7173,8.9808,6.2524,-4.2716,10.6969,2.5096,-3.3396,-4.1412,,9.3851,16.2141,7.5656,,,,,,,,,,,,,,,4,,1.3295,,-7.1116,1.0879,-16.57,-6.1455,11.8248,-10.0593,0.6061,12.47,-6.2858,-1.8146,7.5161,4.6549,,4.5761,4.3856,1.3295,,,,,,,,,QC'd by SigmaAldrich
2764,26757790,76262,CCCCCCCC[Si](OCC)(OCC)OCC,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164371-01/21156960,,Inactive,,,,,,,,,,4,1 0 0 1 0 0 0 1 0 0 0 0 0 0 1,32.8617,,25.7859,5.1966,9.8973,34.8585,25.6216,17.1713,17.1542,-5.2779,6.1507,29.5232,24.0087,19.5669,,-8.7616,-6.2479,32.8617,,,,,,,,,,,,,,,4,,3.8913,,3.6008,-3.3969,11.0935,13.4231,1.4987,5.555,5.9452,8.0279,7.8398,18.9416,13.9453,2.7268,,-5.7669,5.4794,3.8913,,,,,,,,,,,,,,,4,0 0 1 0 0 0 0 1 0 0 0 0 0 0 1,10.82,,4.6136,-0.5007,-8.1899,6.4924,8.5396,-1.4701,1.3906,-13.8769,-9.0704,-3.9327,-2.7563,1.8845,,-9.1346,-15.5215,10.82,,,,,,,,,QC'd by SigmaAldrich
2765,26757792,6950,CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164373-01/21156827,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 1 0 0 0 1,-6.6352,,-15.2049,-4.331,-29.4386,-10.3921,-24.0908,-27.6745,-21.8561,-27.842,22.2924,15.0344,-22.0311,0.8276,,7.1603,7.0395,-6.6352,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 1 0 0 0 1,-14.6776,,-1.7343,0.131,4.9416,-5.0145,0.9684,-4.9046,6.5598,6.4281,17.8308,22.8903,32.049,3.3294,,9.2981,-0.9348,-14.6776,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,4.5272,,-13.205,-7.2494,-22.6351,-3.3546,-17.9178,-17.2922,-18.9787,-22.1696,-6.477,-13.3953,-35.1887,-8.4136,,-9.8368,-0.0273,4.5272,,,,,,,,,QC'd by SigmaAldrich
2766,26757793,7622,CCCCN(CCCC)CCCC,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164374-01/21156094,,Inactive,,,,,,,,,,4,,-38.3634,,-7.878,8.0912,-15.1486,9.3672,-17.8801,36.2944,-13.9537,-33.0964,-20.4207,-34.4965,16.5533,44.5446,,-47.5692,-13.05,-38.3634,,,,,,,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 0 0 0 1,-2.5224,,-20.5658,-7.6819,-12.3866,-0.8481,-1.3466,10.075,-3.1363,0.8329,-2.2529,-1.9047,15.3628,13.9184,,11.3914,11.906,-2.5224,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1 1 0 0,-22.7147,,9.747,8.0045,0.0387,6.3749,-11.97,6.5663,-6.1403,-20.7276,-13.1341,-22.1025,-6.5766,7.4855,,-38.4236,-19.3525,-22.7147,,,,,,,,,QC'd by SigmaAldrich
2767,26757794,92839,CC(COC1=CC=CC=C1)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164375-01/21155689,,Inactive,,,,,,,,,,4,,-30.8535,,30.8395,-24.9625,30.632,2.0637,2.2868,-3.9538,-34.2381,40.2035,13.148,0.2119,-7.6031,-38.7594,,-1.8698,-33.892,-30.8535,,,,,,,,,,,,,,,4,,-6.4497,,2.2893,-6.7469,10.4002,4.0705,-3.4164,2.7079,-1.3506,6.9873,0.1658,-0.3284,15.3567,-14.79,,-1.2443,-0.248,-6.4497,,,,,,,,,,,,,,,4,,-20.103,,6.0947,-16.9406,2.5578,-6.8061,-2.6955,-13.7223,-24.444,10.2074,-0.0876,-7.6423,-23.2328,-19.8113,,-9.8918,-27.4447,-20.103,,,,,,,,,QC'd by SigmaAldrich
2768,26757796,24309,CCCCC(CC)COC(=O)CS,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164377-01/21156434,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 1 0 0 0 0 0 0 0,-6.3684,,9.7611,41.8811,7.5748,6.1969,1.6744,10.7662,-7.557,16.7512,-8.7375,0.9426,-18.5972,-6.0104,,14.9915,-11.7025,-6.3684,,,,,,,,,,,,,,,4,,1.0339,,3.4715,10.9899,7.6388,1.4629,7.0751,11.3311,7.1599,24.8214,8.8796,16.7244,15.8865,1.0934,,14.3552,16.7182,1.0339,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-11.2664,,-5.3937,7.7717,-7.2203,-0.8902,-11.4108,-11.0078,-15.1057,-14.8901,-19.2498,-19.9099,-29.4741,-12.8628,,-11.6891,-26.8771,-11.2664,,,,,,,,,QC'd by SigmaAldrich
2769,26757799,11273,C[C@]12CCC(=O)C(=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164380-01/21156458,,Inactive,,,,,,,,,,4,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-15.4698,,-8.5562,20.2314,8.1956,21.2255,33.3659,9.3611,-16.2046,-1.1694,4.0436,1.6229,1.9374,7.0598,,18.9036,-24.3371,-15.4698,,,,,,,,,,,,,,,4,,9.3246,,0.5455,3.3099,-4.8082,-1.2477,-2.1572,-1.4236,2.8362,-9.7228,-3.093,3.4153,5.1785,2.9182,,12.1318,0.9068,9.3246,,,,,,,,,,,,,,,4,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-11.8897,,-5.3044,10.0912,10.698,16.9923,22.4786,6.5662,-7.9639,9.6846,5.7787,-0.4132,-0.5553,1.7485,,1.9103,-13.2021,-11.8897,,,,,,,,,QC'd by SigmaAldrich
2770,26757800,25572,COC1=CC=C(C=C1)C(C2CC2)(C3=CN=CN=C3)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164381-01/21156583,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 1 0 0 0 0,21.0413,,-15.4583,18.5167,-5.2616,-28.1942,-30.6589,-3.0624,-28.4175,-15.315,-1.2103,-12.2974,2.4227,-25.668,,-15.0698,-13.7578,21.0413,,,,,,,,,,,,,,,4,1 0 0 0 0 0 1 0 0 0 0 0 0 0 1,-4.7468,,9.5717,-5.3471,13.41,-4.7878,3.5657,-11.8208,19.8512,-2.3408,2.7479,6.3137,4.1999,7.3833,,11.3269,15.0342,-4.7468,,,,,,,,,,,,,,,4,0 1 0 0 0 1 0 0 0 0 0 0 0 0 0,12.599,,-15.6826,11.1024,-10.2891,-12.5639,-19.2022,3.0218,-24.1455,-6.3437,-4.2155,-11.8953,-2.68,-19.8023,,-15.9542,-16.0017,12.599,,,,,,,,,QC'd by SigmaAldrich
2771,26757802,93379,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164383-01/21156249,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 0 0 1 0 0 0,23.3559,,-14.7784,10.6889,-8.7823,-2.063,-2.8895,3.7807,-14.3542,-2.4697,4.3896,-20.2601,-8.7132,32.3269,,-13.5571,-4.6899,23.3559,,,,,,,,,,,,,,,4,,16.041,,12.0266,4.9228,22.7792,10.2737,-5.0905,0.6253,1.2469,11.3219,6.1546,5.3123,13.5809,5.0675,,20.0647,1.8006,16.041,,,,,,,,,,,,,,,4,,-4.096,,-22.7053,-4.1415,-22.6164,-12.1583,-4.5305,-5.902,-13.5716,-12.7389,-8.3255,-21.1489,-18.7138,5.2108,,-25.824,-10.3779,-4.096,,,,,,,,,QC'd by SigmaAldrich
2772,26757803,20279,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164384-01/21156542,,Inactive,,,,,,,,,,4,0 1 0 0 0 0 0 1 0 0 0 0 0 0 0,-21.0647,,-32.8002,-23.6671,-43.8597,-41.6782,-50.6529,-33.1055,-43.1221,-51.1534,-36.6797,-29.2163,-23.3408,-28.2913,,-19.5807,-11.5843,-21.0647,,,,,,,,,,,,,,,4,,-1.3225,,-2.3349,9.4965,20.0185,-1.8716,1.2687,-9.52,5.9835,-0.3203,13.9617,9.3683,-1.1779,10.2156,,22.8903,1.3602,-1.3225,,,,,,,,,,,,,,,4,0 0 1 0 0 1 0 0 0 0 0 0 0 0 0,-16.2954,,-24.0712,-24.8495,-39.7449,-26.173,-34.6766,-18.6359,-31.9732,-31.9102,-34.4433,-28.3103,-17.9069,-29.5182,,-31.6904,-13.5781,-16.2954,,,,,,,,,QC'd by SigmaAldrich
2773,26757805,67437,C1CCOC2(C1)CCCCO2,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164386-01/21156892,,Inactive,,,,,,,,,,4,,-18.481,,-11.64,16.9315,-2.5935,-7.5874,-4.9078,-5.6399,15.8049,8.4682,3.3433,-31.3068,-21.3814,-2.078,,8.593,-1.1394,-18.481,,,,,,,,,,,,,,,4,,7.8361,,-0.3326,10.2432,11.3671,9.6528,13.1809,9.2132,-0.9211,12.2505,3.8314,14.4614,10.2297,8.6485,,7.7813,21.6622,7.8361,,,,,,,,,,,,,,,4,,-13.9512,,-6.9146,3.1515,-6.8934,-7.7174,-10.3399,-9.2428,14.0376,-0.8839,0.4059,-25.8933,-17.1444,-7.5245,,-1.2279,-13.5431,-13.9512,,,,,,,,,QC'd by SigmaAldrich
2774,26757806,8840,CCCCCCC(CCCCCCCCCCC(=O)OC)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164387-01/21156823,,Inactive,,,,,,,,,,4,,-13.8583,,30.404,9.9423,1.3046,-5.8973,-11.9366,28.4595,8.7648,9.4131,5.4909,0.4744,13.7736,3.7072,,12.8323,11.4204,-13.8583,,,,,,,,,,,,,,,4,1 0 0 0 1 0 0 0 0 0 0 0 0 0 1,-2.7564,,-11.0826,-1.3786,-4.7809,-0.8029,10.2387,-4.7809,-4.1203,-1.7512,-15.6005,14.0435,-0.1557,1.7737,,6.536,11.436,-2.7564,,,,,,,,,,,,,,,4,,-14.3933,,12.9476,-3.1593,-4.7687,-10.4645,-20.6177,7.719,-0.4694,-1.3258,3.6424,-16.9291,-1.7418,-9.9917,,-7.7066,-9.697,-14.3933,,,,,,,,,QC'd by SigmaAldrich
2775,26757807,38258,C(NC(=O)NC1C(=O)NC(=O)N1CO)NC(=O)NC2C(=O)NC(=O)N2CO,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164388-01/21157063,,Inactive,,,,,,,,,,4,,-7.0481,,-7.9496,7.3484,10.3387,4.3107,-42.5137,1010.7,7.7893,-9.1821,12.3537,-41.2158,-38.6082,-27.8406,,18.4417,0.9343,-7.0481,,,,,,,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 0 0 0 1,-0.5439,,-0.5889,-11.0668,13.3413,-4.7906,-11.7,269.649,-7.283,4.0473,1.3523,-7.0709,-6.2812,-8.421,,23.9482,10.0525,-0.5439,,,,,,,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 0 0 0 1,-4.2679,,-6.9392,9.9205,-2.935,6.0842,-17.9676,125.422,9.7087,-6.8459,3.7923,-20.313,-18.2628,-12.9458,,-7.795,-7.1124,-4.2679,,,,,,,,,QC'd by SigmaAldrich
2776,26757808,88045,C[C@@H]1[C@H](C[C@@H]([C@H](O1)OC2[C@@H]([C@H](C([C@@H]([C@@H]2O)O)O)O)O)N)N=C(C(=O)O)N.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164389-01/21156415,,Inactive,,,,,,,,,,4,,3.6071,,7.8569,21.883,17.2769,17.5189,-2.4515,19.636,4.0148,31.9594,17.8713,-0.3255,-2.3276,25.1995,,28.9289,0.1806,3.6071,,,,,,,,,,,,,,,4,1 0 0 0 0 1 0 0 0 0 0 0 0 0 0,1.506,,-1.8218,-15.0168,2.8851,-10.038,-13.8338,8.7313,-14.5798,-12.5165,-8.5142,0.201,7.5211,-3.3673,,-0.2386,3.9292,1.506,,,,,,,,,,,,,,,4,,-14.5736,,-12.643,5.6129,-7.8449,1.9761,-8.8535,-12.3077,-2.8985,11.2245,-1.4769,-17.0791,-21.1468,-2.574,,-2.6721,-18.4836,-14.5736,,,,,,,,,QC'd by SigmaAldrich
2777,26757809,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164390-01/21155808,,Inactive,,,,,,,,,,4,0 0 1 0 0 1 0 0 0 0 0 0 0 0 1,1.7978,,11.7521,12.2873,20.7866,-3.2836,-15.8934,27.8092,-2.28,3.6106,0.7942,-3.9906,-9.5497,8.6182,,41.0791,23.1056,1.7978,,,,,,,,,,,,,,,4,,-2.8051,,1.6035,-14.5836,-12.6482,-5.7032,-11.0091,2.7364,-6.161,-7.761,-16.4413,-6.2099,3.5857,-2.0522,,0,-1.3847,-2.8051,,,,,,,,,,,,,,,4,,1.5366,,1.8849,14.5171,19.368,1.9195,-3.5457,9.54,2.4137,6.9401,9.2634,-0.5759,-8.2065,2.395,,17.6041,11.0828,1.5366,,,,,,,,,QC'd by SigmaAldrich
2778,26757810,117746,CN1C(=O)C=CS1.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164391-01/21156798,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 1 0 1,-11.1306,,-2.9531,8.3314,-6.4602,8.7507,-5.9064,-9.601,5.0274,-16.1532,-1.8379,-14.1944,-8.6131,-25.9659,,-7.9155,-30.8008,-11.1306,,,,,,,,,,,,,,,4,,-11.1502,,-1.3371,-2.1999,-5.4674,-3.1157,-0.4362,0.0711,-4.7979,5.5661,-2.5919,-0.9971,1.3598,-0.1611,,6.3424,7.8491,-11.1502,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-2.7988,,-7.4999,1.0105,-3.8226,4.6585,-7.8879,-11.2172,3.5617,-15.523,-4.428,-12.9105,-10.4125,-20.8294,,-14.8868,-26.7113,-2.7988,,,,,,,,,QC'd by SigmaAldrich
2779,26757814,5365642,C/C=C/C/C=C\CCCCCCCCOC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164395-01/21156733,,Inactive,,,,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 1 0 0 0,-1.2166,,28.5836,26.6387,23.5788,21.1964,-0.6215,5.0572,11.129,-2.0754,14.0709,-0.1237,-0.1664,17.1604,,-15.3675,-18.2031,-1.2166,,,,,,,,,,,,,,,4,,-5.3993,,-7.1141,-2.2276,-3.8228,-4.3942,1.8949,-9.0536,-2.8545,5.3429,-14.9299,7.7621,-10.072,0.3449,,-14.2047,-6.9703,-5.3993,,,,,,,,,,,,,,,4,0 0 0 0 1 0 0 0 1 0 0 0 0 0 0,-3.0862,,12.2166,9.3999,10.0025,9.9096,-7.4748,1.2472,2.9771,-8.2206,11.1853,-11.0168,-0.0127,1.023,,-7.5007,-12.6011,-3.0862,,,,,,,,,QC'd by SigmaAldrich
2780,26757815,5367650,CC/C=C/CCCCCCCCCCOC(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164396-01/21156010,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 0 0 0 1 0,-17.5677,,11.262,18.2359,7.8769,-0.4935,-3.0621,-3.7914,2.4788,0.2025,1.4581,-17.1157,8.0854,10.3396,,-4.7541,29.1926,-17.5677,,,,,,,,,,,,,,,4,,4.15,,6.7872,-0.675,-10.6894,-5.6564,-10.0296,-3.9202,-3.9051,7.1096,4.8674,-1.3096,6.7881,7.6404,,3.7463,9.1492,4.15,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 1 0,-9.9966,,1.4587,12.0157,15.2746,7.5092,7.2707,1.307,7.6631,-1.1461,-1.0438,-7.7912,1.7496,0.2964,,-4.958,11.037,-9.9966,,,,,,,,,QC'd by SigmaAldrich
2781,26757817,246983,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164398-01/21156320,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 1 0 0 0 0 0 0 1,11.8481,,-6.5062,23.5355,9.3622,25.2573,-0.4213,-12.0777,18.7894,-6.2066,66.7396,56.1026,6.1673,-15.8349,,-16.1998,-13.1224,11.8481,,,,,,,,,,,,,,,4,,-4.3376,,0.2129,0.5622,-4.518,4.4051,-10.8982,-7.2872,-11.0531,-7.5949,-1.3449,-3.8214,-6.6365,-3.7027,,-13.0966,0.9297,-4.3376,,,,,,,,,,,,,,,4,,-2.35,,-17.8187,0.0882,-2.9518,0.844,-4.7766,-15.1732,9.2723,-8.8215,26.1776,21.8046,-3.9785,-20.5523,,-14.4109,-20.8703,-2.35,,,,,,,,,QC'd by SigmaAldrich
2782,26757819,28417,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164400-01/21156408,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 1 0 0 0 1,32.1941,,6.5618,21.4134,14.466,7.8334,-6.1482,-8.5109,-7.1261,-20.5452,-6.0563,-25.0861,-25.3681,6.7774,,12.6755,-3.2043,32.1941,,,,,,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0 0 0 0,13.9591,,7.0228,-4.9619,6.5063,-3.208,-2.8871,-11.9552,-8.9173,-6.7329,-4.4341,11.261,12.2316,1.8836,,2.8041,4.2768,13.9591,,,,,,,,,,,,,,,4,,-6.977,,-18.0031,-0.2097,-10.7458,-6.7034,-16.9818,-13.0099,-11.7349,-20.6722,-16.0534,-35.7308,-35.4611,-14.5596,,-12.0796,-20.106,-6.977,,,,,,,,,QC'd by SigmaAldrich
2783,26757821,20469,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164402-01/21156854,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0,11.9727,,64.2821,-22.2244,-7.9457,1.709,-13.1219,-7.0389,-2.7344,-14.4537,58.2851,3.6506,-16.1518,-1.0267,,13.3269,-5.5747,11.9727,,,,,,,,,,,,,,,4,,1.9152,,-16.0813,0.5641,-6.1168,-2.6004,-7.6729,-0.2707,-7.3414,-11.0701,-13.148,-1.3892,6.59,-10.1076,,2.7385,4.3598,1.9152,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-1.8828,,37.15,-18.6096,-7.1361,-3.3565,-9.8858,-11.5513,-3.0715,-6.7514,33.0405,-5.2783,-18.6058,-3.4728,,-3.6435,-12.7003,-1.8828,,,,,,,,,QC'd by SigmaAldrich
2784,26757822,1549133,CC(C)C[C@@H](C(=O)O)NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13,Inactive,0,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00164403-01/21156953,,Inactive,,,,,,,,,,4,0 1 0 1 0 0 0 0 0 0 0 0 0 0 0,31.6532,,-15.9596,18.4901,-27.5063,5.2878,-44.6002,-20.2597,-38.2863,-15.858,-14.4811,-34.9484,-45.2869,-21.1933,,-21.2779,-35.5118,31.6532,,,,,,,,,,,,,,,4,,-4.4527,,-15.0034,-23.1514,0.7259,-2.2191,-11.3997,-7.2741,-9.3002,-1.4742,-8.1715,-8.3288,-14.2684,-12.0138,,-5.178,-19.7835,-4.4527,,,,,,,,,,,,,,,4,0 1 0 1 0 0 0 0 0 0 0 0 0 0 0,19.256,,-0.835,28.1296,-15.1311,5.8465,-17.9648,-8.1815,-14.2919,-6.8499,-3.3903,-15.237,-16.2452,-6.0003,,-10.5824,-7.351,19.256,,,,,,,,,QC'd by SigmaAldrich
